标称截面,计算面积铝,计算面积铝合金,计算面积总和,铝单线根数,铝合金单线根数,铝单线直径,铝合金单线直径,铝合金芯直径,绞线直径,单位长度质量,额定拉断力,20℃直流电阻JL/LHA1,20℃直流电阻JL1/LHA1,20℃直流电阻JL2/LHA1,20℃直流电阻JL3/LHA1
25/20,24.3,18.2,42.5,4,3,2.78,2.78,,8.34,116.6,9.75,0.7347,0.7310,0.7273,0.7236
40/30,38.3,28.7,67.0,4,3,3.49,3.49,,10.5,183.7,15.17,0.4662,0.4638,0.4615,0.4591
60/45,60.8,45.6,106,4,3,4.40,4.40,,13.2,292.0,23.38,0.2933,0.2918,0.2903,0.2889
80/50,83.1,48.5,132,12,7,2.97,2.97,8.91,14.9,362.4,29.11,0.2351,0.2338,0.2325,0.2313
105/60,106,62.1,168,12,7,3.36,3.36,10.1,16.8,463.8,36.72,0.1837,0.1827,0.1817,0.1807
130/140,132,139,270,18,19,3.05,3.05,15.3,21.4,744.3,64.56,0.1180,0.1175,0.1169,0.1164
135/80,134,78.1,212,12,7,3.77,3.77,11.3,18.9,583.9,44.82,0.1459,0.1451,0.1443,0.1435
135/140,134,142,276,18,19,3.08,3.08,15.4,21.6,760.2,65.84,0.1159,0.1154,0.1149,0.1144
135/145,136,143,279,18,19,3.10,3.10,15.5,21.7,770.1,66.69,0.1144,0.1139,0.1134,0.1129
165/170,163,173,336,18,19,3.40,3.40,17.0,23.8,926.4,80.23,0.0951,0.0947,0.0943,0.0939
165/175,165,175,340,18,19,3.42,3.42,17.1,23.9,937.3,81.17,0.0940,0.0936,0.0932,0.0928
170/95,167,97.4,264,12,7,4.21,4.21,12.6,21.1,729.6,55.89,0.1173,0.1166,0.1160,0.1153
210/220,207,219,426,18,19,3.83,3.83,19.2,26.8,1175.5,98.69,0.0749,0.0746,0.0743,0.0740
210/230,219,232,451,18,19,3.94,3.94,19.7,27.6,1244.0,104.4,0.0708,0.0705,0.0702,0.0699
235/250,238,251,488,18,19,4.10,4.10,20.5,28.7,1347.1,113.1,0.0654,0.0651,0.0648,0.0645
260/275,264,278,542,18,19,4.32,4.32,21.6,30.2,1495.6,125.6,0.0589,0.0586,0.0584,0.0581
265/60,263,61.3,324,30,7,3.34,3.34,10.0,23.4,894.2,62.31,0.0923,0.0917,0.0910,0.0904
270/420,272,420,692,24,37,3.80,3.80,26.6,34.2,1910.5,169.1,0.0472,0.0470,0.0468,0.0466
307/470,306,472,778,24,37,4.03,4.03,28.2,36.3,2148.7,190.2,0.0419,0.0418,0.0416,0.0415
335/80,335,78.1,413,30,7,3.77,3.77,11.3,26.4,1139.3,76.96,0.0724,0.0719,0.0715,0.0710
345/530,345,532,878,24,37,4.28,4.28,30.0,38.5,2423.6,214.5,0.0372,0.0370,0.0369,0.0368
365/165,366,165,531,42,19,3.33,3.33,16.7,30.0,1467.2,111.4,0.0578,0.0574,0.0571,0.0568
375/85,375,87.5,463,30,7,3.99,3.99,12.0,27.9,1276.2,86.21,0.0647,0.0642,0.0638,0.0634
415/95,418,97.4,515,30,7,4.21,4.21,12.6,29.5,1420.8,95.98,0.0581,0.0577,0.0573,0.0569
455/205,456,207,663,42,19,3.72,3.72,18.6,33.5,1831.0,134.8,0.0463,0.0460,0.0457,0.0455
465/110,469,109,578,30,7,4.46,4.46,13.4,31.2,1594.5,107.7,0.0518,0.0514,0.0511,0.0507
465/210,464,210,674,42,19,3.75,3.75,18.8,33.8,1860.6,137.0,0.0456,0.0453,0.0450,0.0448
505/65,505,65.4,570,54,7,3.45,3.45,10.4,31.1,1575.2,103.5,0.0518,0.0514,0.0510,0.0507
515/230,515,233,748,42,19,3.95,3.95,19.8,35.6,2064.4,152.0,0.0411,0.0408,0.0406,0.0403
535/240,533,239,772,42,37,4.02,2.87,20.1,36.2,2135.0,159.2,0.0397,0.0395,0.0393,0.0390
570/390,568,389,957,54,37,3.66,3.66,25.6,40.3,2646.7,197.0,0.0327,0.0325,0.0324,0.0322
580/260,579,262,841,42,19,4.19,4.19,21.0,37.7,2322.9,171.1,0.0365,0.0363,0.0361,0.0358
630/430,632,433,1065,54,37,3.86,3.86,27.0,42.5,2943.8,219.1,0.0294,0.0293,0.0291,0.0290
650/295,650,294,944,42,19,4.44,4.44,22.2,40.0,2608.3,192.1,0.0325,0.0323,0.0321,0.0319
665/300,668,301,969,42,37,4.50,3.22,22.5,40.5,2679.0,199.9,0.0317,0.0315,0.0313,0.0311
705/485,709,486,1196,54,37,4.09,4.09,28.6,45.0,3305.1,246.0,0.0262,0.0261,0.0259,0.0258
745/335,747,336,1083,42,37,4.76,3.40,23.8,42.8,2994.2,223.3,0.0283,0.0282,0.0280,0.0278
790/540,792,542,1334,54,37,4.32,4.32,30.2,47.5,3687.3,274.5,0.0235,0.0234,0.0232,0.0231
800/550,803,550,1352,54,37,4.35,4.35,30.5,47.9,3738.7,278.3,0.0232,0.0230,0.0229,0.0228
820/215,817,215,1032,72,19,3.80,3.80,19.0,41.8,2852.9,185.4,0.0292,0.0290,0.0288,0.0286
915/240,914,241,1155,72,19,4.02,4.02,20.1,44.2,3192.8,207.5,0.0261,0.0259,0.0257,0.0255
1020/270,1021,270,1291,72,19,4.25,4.25,21.3,46.8,3568.6,231.9,0.0233,0.0232,0.0230,0.0229
1145/300,1145,302,1447,72,19,4.50,4.50,22.5,49.5,4000.8,260.0,0.0208,0.0207,0.0205,0.204
