标称截面,计算面积,单线根数,单线直径,绞线直径,单位长度质量JLB14,单位长度质量JLB20A,额定拉断力JLB14,额定拉断力JLB20A,20℃直流电阻JLB14,20℃直流电阻JLB20A
30,29.1,7,2.3,6.9,210.4,194.2,46.24,38.97,4.2899,2.954
35,34.4,7,2.5,7.5,248.6,229.4,54.63,46.04,3.6309,2.5002
40,41.6,7,2.75,8.25,300.7,277.6,66.11,55.71,3.0008,2.0663
45,46.2,7,2.9,8.7,334.5,308.7,73.52,61.96,2.6984,1.8581
50,49.5,7,3,9,357.9,330.3,78.67,66.3,2.5215,1.7363
55,56.3,7,3.2,9.6,407.2,375.9,87.26,75.44,2.2161,1.526
65,67.3,7,3.5,10.5,487.2,449.6,104.4,85.53,1.8525,1.2756
70,71.3,7,3.6,10.8,515.4,475.7,108.3,90.49,1.751,1.2057
80,79.4,7,3.8,11.4,574.3,530,120.7,99.24,1.5716,1.0822
90,90.2,7,4.05,12.2,652.3,602.1,137.1,109.1,1.3835,0.9527
95,95.1,7,4.16,12.5,688.2,635.2,144.6,112.3,1.3113,0.903
80,80.3,19,2.32,11.6,583.8,538.8,127.7,107.6,1.5609,1.0748
100,101,19,2.6,13,733.2,676.7,160.4,135.2,1.2428,0.8558
120,121,19,2.85,14.3,881,813.1,192.7,162.4,1.0343,0.7122
150,148,19,3.15,15.8,1076.2,993.3,229.5,198.4,0.8467,0.583
170,173,19,3.4,17,1253.9,1157.3,267.4,226,0.7267,0.5004
185,183,19,3.5,17.5,1328.7,1226.3,283.3,232.2,0.6858,0.4722
210,210,19,3.75,18.8,1525.3,1407.8,319,262.3,0.5974,0.4114
240,239,19,4,20,1735.4,1601.8,362.9,288.9,0.5251,0.3616
300,298,37,3.2,22.4,2168,2001,461.2,398.7,0.4223,0.2908
350,352,37,3.48,24.4,2564,2366.5,545.5,446.9,0.3571,0.2459
380,377,37,3.6,25.2,2743.9,2532.5,572.5,478.3,0.3337,0.2298
400,398,37,3.7,25.9,2898.4,2675.2,604.7,497.3,0.3159,0.2175
420,420,37,3.8,26.6,3057.2,2821.7,637.8,524.5,0.2995,0.2062
450,451,37,3.94,27.6,3286.6,3033.5,685.7,563.9,0.2786,0.1918
465,465,37,4,28,3387.5,3126.6,706.7,562.6,0.2703,0.1861
500,503,37,4.16,29.1,3663.9,3381.7,764.4,593.4,0.2499,0.1721
590,588,37,4.5,31.5,4287.3,3957.1,894.5,670.8,0.2135,0.147
600,599,37,4.54,31.9,4363.9,4027.1,910.4,682.8,0.2093,0.1445
600,600,61,3.54,32.7,4380.6,4043.2,866.9,724.4,0.2096,0.1443
630,631,61,3.63,32.7,4606.2,4251.3,911.6,761.7,0.1993,0.1373
670,670,37,4.8,33.6,4878,4502.3,1004.3,716.4,0.1877,0.1292
800,805,61,4.1,36.9,5876.2,5423.5,1162.9,925.8,0.1563,0.1076
